"programa";"id_unidade";"sigla";"sigla_academica";"area_cnpq"
"PROFLETRAS - COORDENAÇÃO NACIONAL - MESTRADO";"11619";"PROFLETRAS/CNM";"PROFCNM   ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO";"74";"PPGA/CCSA";"PPGA      ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA SOCIAL";"1442";"CCHLA - PGAS";"PGAS      ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO";"102";"PPGAU/CT";"PPGAU     ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA, PROJETO E MEIO AMBIENTE";"6967";"PPAPMA";"MPA       ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ARTES CÊNICAS";"4073";"PPGARC";"PPGARC    ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM BIOINFORMÁTICA";"9814";"PPGBIONF";"PPB       ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA ESTRUTURAL E FUNCIONAL";"7805";"PGBIOEF";"BEF       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA PARASITÁRIA";"8085";"PPGBP";"BPA       ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM BIOQUÍMICA";"1639";"BIOQ";"PPGQUI    ";"Ciências Biológicas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA";"3014";"PROGBIO/CT";"PPGB      ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS";"68";"PPGCEM/CCET";"PPGCEM    ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO";"2598";"PPGCEP";"PPGCEP    ";"Engenharias"
