Ano;Mês;Número;Período
1998;Janeiro;0;01/01/1998
1999;Janeiro;1081;01/01/1999
2000;Janeiro;778;01/01/2000
2001;Janeiro;547;01/01/2001
2002;Janeiro;1654;01/01/2002
2003;Janeiro;5091;01/01/2003
2004;Janeiro;2705;01/01/2004
2005;Janeiro;4990;01/01/2005
2006;Janeiro;3255;01/01/2006
2007;Janeiro;3055;01/01/2007
2008;Janeiro;2125;01/01/2008
2009;Janeiro;2848;01/01/2009
2010;Janeiro;2851;01/01/2010
2011;Janeiro;1416;01/01/2011
2012;Janeiro;2491;01/01/2012
2013;Janeiro;2049;01/01/2013
2014;Janeiro;2634;01/01/2014
2015;Janeiro;4637;01/01/2015
2016;Janeiro;5983;01/01/2016
2017;Janeiro;2370;01/01/2017
Máximo;Janeiro;5983;
Média;Janeiro;2766;
Mínimo;Janeiro;547;
1998;Fevereiro;0;01/02/1998
1999;Fevereiro;1284;01/02/1999
2000;Fevereiro;562;01/02/2000
2001;Fevereiro;1059;01/02/2001
2002;Fevereiro;1570;01/02/2002
2003;Fevereiro;2398;01/02/2003
2004;Fevereiro;1255;01/02/2004
2005;Fevereiro;2153;01/02/2005
2006;Fevereiro;1666;01/02/2006
2007;Fevereiro;1751;01/02/2007
2008;Fevereiro;1275;01/02/2008
2009;Fevereiro;1140;01/02/2009
2010;Fevereiro;2386;01/02/2010
2011;Fevereiro;973;01/02/2011
2012;Fevereiro;1436;01/02/2012
2013;Fevereiro;1591;01/02/2013
2014;Fevereiro;1548;01/02/2014
2015;Fevereiro;2311;01/02/2015
2016;Fevereiro;4148;01/02/2016
2017;Fevereiro;1400;01/02/2017
Máximo;Fevereiro;4148;
Média;Fevereiro;1679;
Mínimo;Fevereiro;562;
1998;Março;0;01/03/1998
1999;Março;667;01/03/1999
2000;Março;849;01/03/2000
2001;Março;1268;01/03/2001
2002;Março;1679;01/03/2002
2003;Março;2749;01/03/2003
2004;Março;2040;01/03/2004
2005;Março;1706;01/03/2005
2006;Março;1774;01/03/2006
2007;Março;2136;01/03/2007
2008;Março;1239;01/03/2008
2009;Março;1392;01/03/2009
2010;Março;2417;01/03/2010
2011;Março;937;01/03/2011
2012;Março;2058;01/03/2012
2013;Março;1969;01/03/2013
2014;Março;2225;01/03/2014
2015;Março;2204;01/03/2015
2016;Março;3799;01/03/2016
2017;Março;2017;01/03/2017
Máximo;Março;3799;
Média;Março;1849;
Mínimo;Março;667;
1998;Abril;0;01/04/1998
1999;Abril;717;01/04/1999
2000;Abril;538;01/04/2000
2001;Abril;1081;01/04/2001
2002;Abril;1682;01/04/2002
2003;Abril;2677;01/04/2003
2004;Abril;1335;01/04/2004
2005;Abril;1011;01/04/2005
2006;Abril;792;01/04/2006
2007;Abril;415;01/04/2007
2008;Abril;1253;01/04/2008
2009;Abril;1078;01/04/2009
2010;Abril;2200;01/04/2010
2011;Abril;1152;01/04/2011
2012;Abril;2194;01/04/2012
2013;Abril;1374;01/04/2013
2014;Abril;2360;01/04/2014
2015;Abril;2574;01/04/2015
