DES_TIPOLICENCA;NUM_LICENCA;DAT_EMISSAO;DAT_VENCIMENTO;NOM_EMPREENDIMENTO;NOM_PESSOA;NUM_PROCESSO_IBAMA;DES_TIPOLOGIA;Última Atualização Relatório;PAC
Anuência;538*/2011;06/07/2011;06/07/2016;Perfuração - Bloco BM-C-32 - Bacia de Campos;BP ENERGY DO BRASIL LTDA;02022.010659/2004-83;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;538/2011;06/07/2011;06/07/2016;Perfuração Marítima - Bloco BM-C-34 - Bacia de Campos;BP ENERGY DO BRASIL LTDA;02022.003671/2006-01;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;616/2011;21/07/2011;31/12/2012;Atividade de Perfuração Marítima na àrea Geográfica da Bacia de Campos - AGBC;PETROBRAS S.A. / E&P UN-RIO;02001.005368/2003-31;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;633/2011;25/07/2011;28/02/2016;Perfuração Marítima - Bacias de Santos e Pelotas;PETROBRAS S.A. / E&P UN-RIO;02022.003032/2005-57;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;638/2011;27/07/2011;28/02/2016;Perfuração Marítima - Bacias de Santos e Pelotas;PETROBRAS S.A. / E&P UN-RIO;02022.003032/2005-57;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;678/2011;04/08/2011;29/04/2011;Extração mineral de Ferro e Manganês - Morro do Urucum;MINERAÇÃO CORUMBAENSE REUNIDA S/A;02001.001696/90-19;Mineração;02/09/2020 19:02;No
Anuência;766/2011;02/09/2011;28/04/2013;Perfuração Marítima Blaford Dolfin, Bloco BM-S-60, Bacia de Santos;SONANGOL HIDROCARBONETOS BRASIL LTDA;02022.002245/2008-12;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;765/2011;02/09/2011;14/02/2014;Perfuração Marítima - Blocos BM-C-45 e BM-C-46 - Bacia de Campos;SONANGOL HIDROCARBONETOS BRASIL LTDA;02022.002620/2008-16;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;917/2011;07/10/2011;31/12/2012;Atividade de Perfuração Marítima na àrea Geográfica da Bacia de Campos - AGBC;PETROBRAS S.A. / E&P UN-RIO;02001.005368/2003-31;Petróleo e Gás - Perfuração;02/09/2020 19:02;No
Anuência;957/2011;19/10/2011;25/02/2014;Ampliação do Sistema de Injeção de Água - Campo de Ubarana - Bacia Potiguar;PETRÓLEO BRASILEIRO S/A - PETROBRÁS;02022.002514/2006-71;Petróleo e Gás - Produção;02/09/2020 19:02;No
